# timestamp [ns],w_x [rad s^-1],w_y [rad s^-1],w_z [rad s^-1],a_x [m s^-2],a_y [m s^-2],a_z [m s^-2]
# Coordinate system: Right-Front-Up (X: Right, Y: Front, Z: Up)
1292541620224999999,0.000003900,-0.000008234,-0.000038849,-0.264719159,-0.941872576,9.746520885
1292541620229999999,0.000004680,-0.000009880,-0.000046620,-0.264734853,-0.941839512,9.746523655
1292541620234999999,0.000005460,-0.000011526,-0.000054390,-0.264750547,-0.941806449,9.746526424
1292541620239999999,0.000006241,-0.000013173,-0.000062160,-0.264766242,-0.941773385,9.746529194
1292541620244999999,0.000007021,-0.000014819,-0.000069930,-0.264781936,-0.941740322,9.746531963
1292541620250000000,0.000007801,-0.000016465,-0.000077700,-0.264797631,-0.941707258,9.746534733
1292541620255000000,0.000008581,-0.000018111,-0.000085470,-0.264813325,-0.941674195,9.746537503
1292541620260000000,0.000009361,-0.000019757,-0.000093240,-0.264829019,-0.941641131,9.746540272
1292541620265000000,0.000010141,-0.000021403,-0.000101010,-0.264844714,-0.941608067,9.746543042
1292541620270000000,0.000010921,-0.000023049,-0.000108781,-0.264860408,-0.941575004,9.746545811
1292541620275000000,0.000011701,-0.000024696,-0.000116551,-0.264876103,-0.941541940,9.746548581
1292541620280000000,0.000012481,-0.000026342,-0.000124321,-0.264891797,-0.941508877,9.746551351
1292541620284999999,0.000013261,-0.000027988,-0.000132091,-0.264907492,-0.941475813,9.746554120
1292541620289999999,0.000014041,-0.000029634,-0.000139861,-0.264923186,-0.941442750,9.746556890
1292541620294999999,0.000014821,-0.000031280,-0.000147631,-0.264938880,-0.941409686,9.746559659
1292541620299999999,0.000015602,-0.000032926,-0.000155401,-0.264954575,-0.941376623,9.746562429
1292541620304999999,0.000014821,-0.000031280,-0.000147631,-0.264998184,-0.941059428,9.746591772
1292541620309999999,0.000014041,-0.000029634,-0.000139861,-0.265041794,-0.940742234,9.746621116
1292541620315000000,0.000013261,-0.000027988,-0.000132091,-0.265085403,-0.940425040,9.746650459
1292541620320000000,0.000012481,-0.000026342,-0.000124321,-0.265129013,-0.940107846,9.746679803
1292541620325000000,0.000011701,-0.000024696,-0.000116551,-0.265172622,-0.939790651,9.746709146
1292541620330000000,0.000010921,-0.000023049,-0.000108781,-0.265216232,-0.939473457,9.746738489
1292541620335000000,0.000010141,-0.000021403,-0.000101011,-0.265259842,-0.939156263,9.746767833
1292541620340000000,0.000009361,-0.000019757,-0.000093241,-0.265303451,-0.938839069,9.746797176
1292541620344999999,0.000008581,-0.000018111,-0.000085470,-0.265347061,-0.938521874,9.746826520
1292541620349999999,0.000007801,-0.000016465,-0.000077700,-0.265390670,-0.938204680,9.746855863
1292541620354999999,0.000007021,-0.000014819,-0.000069930,-0.265434280,-0.937887486,9.746885207
1292541620359999999,0.000006241,-0.000013172,-0.000062160,-0.265477889,-0.937570292,9.746914550
1292541620364999999,0.000005461,-0.000011526,-0.000054390,-0.265521499,-0.937253097,9.746943893
1292541620369999999,0.000004680,-0.000009880,-0.000046620,-0.265565108,-0.936935903,9.746973237
1292541620375000000,0.000003900,-0.000008234,-0.000038850,-0.265608718,-0.936618709,9.747002580
1292541620380000000,0.000003120,-0.000006588,-0.000031080,-0.265652327,-0.936301515,9.747031924
1292541620385000000,0.000002340,-0.000004942,-0.000023310,-0.265695937,-0.935984320,9.747061267
1292541620390000000,0.000001560,-0.000003295,-0.000015540,-0.265739547,-0.935667126,9.747090610
