# timestamp [ns],w_x [rad s^-1],w_y [rad s^-1],w_z [rad s^-1],a_x [m s^-2],a_y [m s^-2],a_z [m s^-2]
# Coordinate system: Right-Front-Up (X: Right, Y: Front, Z: Up)
1553744068375754999,0.003255208,0.015733507,-0.035329861,0.169067383,-2.172088623,9.456787109
1553744068385754999,0.036414931,0.027539062,-0.030794271,0.355834961,-2.015686035,7.273406982
1553744068395755000,0.062489149,0.027115885,-0.023817274,-0.060119629,-1.342468262,8.216857910
1553744068405755000,0.063834635,0.024327257,-0.020757378,-0.890808105,-0.177001953,9.379119873
1553744068415755000,0.051486545,-0.010004340,-0.021560330,-1.534729004,0.500030518,10.163269043
1553744068425754999,0.031087240,-0.032194010,-0.029589844,-0.984039307,0.196685791,9.809112549
1553744068435754999,0.027690972,-0.005544705,-0.033832465,0.838775635,-0.440368652,9.896087646
1553744068445754999,0.023068576,-0.009483507,-0.024793837,0.013732910,0.124664307,10.315704346
1553744068455755000,0.017165799,-0.012196181,-0.013639323,-0.926361084,0.209960938,10.437316895
1553744068465755000,-0.016341146,-0.023882378,-0.018945312,-0.717926025,0.825347900,11.260223389
1553744068475755000,-0.031825087,-0.021961806,-0.026334635,0.239410400,0.362243652,11.264343262
1553744068485754999,-0.050184462,0.001421441,-0.027105035,0.619049072,-0.122070312,10.100097656
1553744068495754999,-0.043728299,0.003938802,-0.021961806,0.152435303,-0.863952637,9.489593506
1553744068505754999,-0.029969618,-0.017621528,-0.020106337,-0.046997070,-1.566772461,11.174774170
1553744068515755000,-0.016634115,-0.000868056,-0.019520399,0.279235840,-1.188354492,9.225158691
1553744068525755000,-0.007237413,0.004112413,-0.022569444,0.518646240,-0.492401123,7.653961182
1553744068535755000,-0.004698351,0.032682292,-0.026302083,0.321197510,-0.341949463,8.645477295
1553744068545755000,-0.003092448,0.036816406,-0.028027344,0.011596680,-1.061401367,9.690093994
1553744068555754999,0.008257378,-0.011404080,-0.026638455,0.069122314,-1.119842529,9.554595947
1553744068565754999,0.021668837,-0.009331597,-0.022233073,0.437927246,-0.535430908,8.229675293
1553744068575754999,0.008669705,0.043489583,-0.026085069,0.786743164,-0.153656006,9.443664551
1553744068585755000,0.002484809,0.065364583,-0.030013021,0.900726318,-0.065460205,9.878387451
1553744068595755000,0.003146701,0.024837240,-0.025097656,0.238647461,-0.773162842,11.463470459
1553744068605755000,0.008387587,0.008159722,-0.016232639,0.284118652,-0.360412598,10.399932861
1553744068615754999,-0.000282118,0.027408854,-0.016503906,0.103759766,-0.142364502,9.203338623
1553744068625754999,-0.014659288,0.051551649,-0.019596354,-0.346069336,0.545043945,10.289306641
1553744068635754999,-0.032855903,0.030685764,-0.019607205,-0.308227539,0.145263672,11.190643311
1553744068645755000,-0.045572917,-0.001085069,-0.016688368,0.075225830,-0.344238281,10.829620361
1553744068655755000,-0.036393229,0.005859375,-0.009125434,0.218658447,-1.030120850,8.833923340
1553744068665755000,-0.017925347,0.017599826,-0.008105469,-0.242004395,-1.617736816,9.766693115
1553744068675754999,0.000618490,0.036588542,-0.009917535,0.098876953,-1.514282227,9.492492676
1553744068685754999,0.016080729,0.037782118,-0.010601128,0.287628174,-1.229400635,9.170989990
1553744068695754999,0.025021701,0.024685330,-0.006152344,-0.252227783,-0.551605225,9.156799316
1553744068705755000,0.022482639,0.005761719,-0.003830295,-0.851593018,-0.812225342,9.781799316
1553744068715755000,0.026768663,0.029047309,-0.007671441,-0.228118896,-0.712127686,9.236755371
1553744068725755000,0.043088108,0.030045573,-0.013444010,-0.024719238,-1.250457764,9.293518066
1553744068735754999,0.050987413,-0.012250434,-0.009657118,-1.390228271,-0.959625244,10.252685547
1553744068745754999,0.059082031,-0.041232639,-0.006532118,-1.374969482,-0.419464111,9.231109619
1553744068755754999,0.047753906,-0.037141927,-0.013758681,-0.802154541,0.040435791,9.168548584
1553744068765755000,0.045258247,-0.033973524,-0.015440538,-1.021118164,-0.339050293,9.233551025
1553744068775755000,0.040201823,-0.046527778,-0.010243056,-1.215820312,-0.210876465,10.271911621
1553744068785755000,0.034385851,-0.072786458,-0.012641059,-0.920104980,0.178680420,9.626464844
1553744068795755000,0.020681424,-0.069683160,-0.019184028,-0.519866943,0.064697266,10.279541016
1553744068805754999,0.004774306,-0.041059028,-0.017686632,0.552825928,0.147247314,10.326995850
1553744068815754999,-0.010481771,-0.027799479,-0.010394965,0.704345703,0.459136963,10.200500488
1553744068825754999,-0.024197049,-0.033995226,-0.004361979,-0.097961426,-0.115509033,10.386352539
1553744068835755000,-0.025043403,-0.029893663,-0.009602865,0.332031250,-0.577850342,12.086944580
1553744068845755000,-0.022938368,-0.010980903,-0.014496528,0.972900391,-0.719757080,9.496765137
1553744068855755000,-0.007259115,-0.010308160,-0.012814670,0.660705566,-1.390380859,9.029998779
1553744068865754999,0.007237413,0.018576389,-0.006987847,0.617065430,-1.522064209,9.053344727
1553744068875754999,0.027897135,0.024544271,-0.006781684,0.655670166,-1.673889160,9.817962646
1553744068885754999,0.043023003,-0.002528212,-0.006152344,0.156860352,-0.763549805,9.190216064
1553744068895755000,0.050434028,-0.010503472,-0.006825087,-0.167846680,-0.561676025,8.599853516
1553744068905755000,0.035677083,0.039691840,-0.009038628,0.672607422,-0.129852295,8.931427002
1553744068915755000,0.033691406,0.038400608,-0.005479601,0.911102295,-0.034637451,9.729766846
1553744068925754999,0.027463108,0.002072483,0.003906250,-0.193328857,-0.049896240,10.255584717
1553744068935754999,0.012999132,0.014724392,0.010872396,0.360412598,0.140228271,10.138397217
1553744068945754999,-0.002267795,0.026942274,0.009320747,0.899963379,0.516204834,8.809051514
1553744068955755000,-0.025119358,0.055815972,0.013509115,0.000915527,0.312957764,10.221557617
1553744068965755000,-0.041482205,0.056564670,0.022677951,-0.612335205,-0.064849854,12.120971680
1553744068975755000,-0.036306424,-0.003439670,0.024522569,0.817718506,-1.132659912,11.607971191
1553744068985754999,-0.013585069,0.010101997,0.028938802,0.633544922,-1.562194824,8.825683594
1553744068995754999,-0.001291233,0.059537760,0.033561198,-0.609588623,-1.286773682,9.522857666
1553744069005754999,0.002929688,0.057378472,0.028352865,-0.852966309,-0.358581543,10.520629883
1553744069015755000,0.004405382,0.010709635,0.025466580,-1.246032715,-0.535888672,10.128173828
1553744069025755000,0.011751302,-0.032660590,0.025379774,-1.546936035,-0.868225098,9.779510498
1553744069035755000,0.017328559,-0.026085069,0.018945312,-1.229248047,-1.148681641,8.142547607
1553744069045755000,0.036653646,-0.023676215,0.005815972,-1.095275879,-0.735931396,8.448944092
1553744069055754999,0.055338542,-0.020713976,0.003179253,-1.121826172,-0.957641602,9.227752686
1553744069065754999,0.048155382,-0.036707899,0.009288194,-1.244506836,-0.188446045,9.976959229
1553744069075754999,0.033268229,-0.085308160,0.008539497,-1.119384766,0.695343018,9.548492432
1553744069085755000,0.021723090,-0.079546441,-0.000954861,0.175781250,0.708160400,9.578094482
1553744069095755000,0.008582899,-0.005740017,-0.009852431,0.907440186,-0.469055176,9.005279541
1553744069105755000,0.013671875,0.032931858,-0.002907986,0.965728760,-0.896759033,10.486450195
1553744069115754999,0.025444878,-0.025184462,0.009103733,-0.215606689,-0.628662109,10.440368652
1553744069125754999,0.021614583,-0.069064670,0.008116319,-0.208282471,0.000305176,10.352325439
1553744069135754999,0.004947917,0.013172743,-0.003906250,0.444335938,0.600891113,8.203735352
1553744069145755000,-0.012760417,0.047981771,-0.011686198,-0.472412109,0.462799072,9.495391846
1553744069155755000,-0.010666233,-0.021202257,-0.009754774,-0.675659180,-0.447082520,11.854248047
1553744069165755000,-0.019715712,-0.039539931,-0.009016927,0.831909180,-0.534210205,10.379028320
1553744069175754999,-0.026345486,-0.020638021,-0.006618924,0.916900635,0.062561035,8.644561768
1553744069185754999,-0.029340278,0.019574653,-0.003993056,0.136108398,-0.472564697,9.584350586
1553744069195754999,-0.032508681,0.012912326,-0.008268229,-0.804138184,-0.690307617,11.318817139
1553744069205755000,-0.028819444,-0.036545139,-0.009038628,-1.054229736,-0.944366455,12.137451172
1553744069215755000,-0.031195747,-0.079220920,-0.008311632,-0.861663818,-0.210876465,10.708160400
1553744069225755000,-0.043500434,-0.064171007,-0.007812500,-0.133209229,-0.233154297,9.838562012
1553744069235754999,-0.044064670,-0.027343750,-0.009049479,0.477294922,-0.603637695,9.198913574
1553744069245754999,-0.035188802,-0.022580295,-0.004014757,0.260314941,-0.830688477,10.251007080
1553744069255754999,-0.029470486,-0.039952257,0.005577257,0.065917969,-1.137084961,10.046997070
1553744069265755000,-0.022222222,-0.055013021,0.006955295,0.765686035,-0.829925537,8.648529053
1553744069275755000,-0.003927951,-0.012879774,0.004155816,0.660705566,-1.525115967,7.475585938
1553744069285755000,0.022656250,0.026649306,0.005588108,0.408020020,-1.808319092,7.962799072
1553744069295755000,0.041113281,0.022840712,0.009602865,0.303039551,-0.811157227,9.240570068
1553744069305754999,0.045475260,0.001258681,0.006998698,0.326538086,-0.436859131,10.444488525
1553744069315754999,0.039561632,0.005674913,0.002940538,0.709075928,-0.176696777,9.464569092
1553744069325754999,0.039800347,0.030186632,0.006553819,0.500030518,-0.129394531,8.772277832
1553744069335755000,0.028982205,0.043457031,0.006705729,-0.255126953,0.137786865,10.846405029
1553744069345755000,0.016916233,0.020876736,-0.001171875,-0.308227539,0.092163086,12.729034424
1553744069355755000,0.002983941,-0.007497830,-0.005837674,0.123748779,0.017700195,10.964660645
1553744069365754999,-0.003895399,-0.048404948,-0.000824653,-0.271911621,0.148620605,8.857727051
1553744069375754999,-0.006401910,0.004904514,0.000314670,-0.069885254,-0.366973877,9.243469238
1553744069385754999,-0.011827257,0.063020833,-0.004741753,0.448913574,-0.477752686,9.029388428
1553744069395755000,-0.007606337,0.007074653,0.001660156,-0.408782959,-0.787200928,10.939025879
1553744069405755000,-0.000802951,-0.046419271,0.011707899,-0.813140869,-1.123504639,9.634246826
1553744069415755000,0.005197483,-0.017328559,0.011056858,0.219421387,-0.861358643,9.232788086
1553744069425754999,0.002973090,0.019672309,0.013780382,0.136108398,-0.486907959,8.115844727
1553744069435754999,0.005327691,0.002983941,0.020648872,-0.776824951,-0.399017334,9.427642822
1553744069445754999,-0.003754340,-0.013129340,0.025151910,-0.881958008,-0.244903564,10.392303467
1553744069455755000,-0.001627604,-0.054839410,0.020583767,-0.727386475,-0.343322754,9.485473633
